RESP,1.0
FRE,0.4076060203344541
CLASSES,0.37277641718242877
STYLES,0.3640634175821566
RESPONDED,0.350589077625255
RESPONSERATE,0.33145917737921116
MON,0.3228009495914268
SMONSPEND,0.3101499612864277
COUPONS,0.30718161244494047
STORES,0.3042423565943741
TMONSPEND,0.2677052401681178
CC_CARD,0.24124972770978728
CCSPEND,0.23524162307259322
PROMOS,0.22664882606551429
MAILED,0.20814939262460572
PSSPEND,0.20614069499768964
OMONSPEND,0.204375511826078
DAYS,0.18441270875654128
PREVPD,0.16035976125358817
WEB,0.15982244823740657
AXSPEND,0.11859776703308623
MARKDOWN,0.10586142424403441
PC_CALC20,0.09350945876516761
PERCRET,0.08510024642343457
AMSPEND,0.05223661508221715
STORELOY,0.03429451625656788
HHKEY,0.014317939984490206
PFASHION,0.006261556992686593
PLEGWEAR,0.003862298248949511
PKNIT_TOPS,0.002207526134873947
PJEWELRY,0.002146575432038915
PKNIT_DRES,-0.0031661438285991873
ZIP_CODE,-0.008148301287302666
PSHIRTS,-0.008849682574594859
CLUSTYPE,-0.009847685898032067
PCAS_PNTS,-0.012056743431446157
POUTERWEAR,-0.01666970236545389
PBLOUSES,-0.018126266886933515
PJACKETS,-0.018170488281973842
PDRESSES,-0.02349805505000895
PCAR_PNTS,-0.024978469100785654
PSWEATERS,-0.030147406897493574
PSUITS,-0.034074677510900736
PCOLLSPND,-0.04670175191249659
GMP,-0.05823670933070682
AVRG,-0.06746899489733717
FREDAYS,-0.22760045823535213
HI,-0.2301831182590803
REC,-0.2650444572889807
LTFREDAY,-0.30719144494794803
