,HHKEY,ZIP_CODE,REC,FRE,MON,CC_CARD,AVRG,PC_CALC20,PSWEATERS,PKNIT_TOPS,PKNIT_DRES,PBLOUSES,PJACKETS,PCAR_PNTS,PCAS_PNTS,PSHIRTS,PDRESSES,PSUITS,POUTERWEAR,PJEWELRY,PFASHION,PLEGWEAR,PCOLLSPND,AMSPEND,PSSPEND,CCSPEND,AXSPEND,TMONSPEND,OMONSPEND,SMONSPEND,PREVPD,GMP,PROMOS,DAYS,FREDAYS,MARKDOWN,CLASSES,COUPONS,STYLES,STORES,STORELOY,WEB,MAILED,RESPONDED,RESPONSERATE,HI,LTFREDAY,CLUSTYPE,PERCRET,VALPHON
count,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0,17392.0
mean,9955671506116.445,48956.19485970561,126.81796228150874,5.094123735050598,477.30413983444583,0.3862120515179393,114.21097861085187,12.5797493100276,0.21475998200321986,0.027142664960900894,0.040907165593375434,0.09377309337626166,0.13529731175252965,0.08539074942502142,0.06896946739880223,0.06561268065777238,0.06894387816237224,0.035147434682612624,0.01799987459751609,0.009633738385464675,0.029880561867524653,0.01269600816467348,0.07216822774838931,13.594710786568523,150.26841996320343,288.8138097976376,24.889483670652975,90.3324775758933,31.893663178472476,224.4410343836362,42.30475620975047,0.5218846418468281,11.574517019319227,437.92335556577734,170.6135602575934,0.18751651121205185,7.165823367065317,0.7606370745170193,17.382934682612696,2.3472286108555656,2109.4315202391904,0.041283348666053356,4.669675712971481,1.204461821527139,17.365708371664915,37.94039155933778,80.38560717571265,15.104645814167434,0.13203770578426757,0.8612005519779209
std,519198160.3300112,24043.618151482628,104.66529936124554,6.428737910342306,654.5125524328448,0.4868941707662409,87.01979861512808,2.4624298782845626,0.23194209904779461,0.06784918206238633,0.10904741129816253,0.1369432646953019,0.18211988815815094,0.13830280246528212,0.13218776839047014,0.11565241827992084,0.15736871025966284,0.13445117639349394,0.09871795249344872,0.036079550107816466,0.07936276988674515,0.050580304947476014,0.17322613242023252,150.12035669665545,402.8624836034402,454.9911706466719,117.71796520822137,186.15387363425938,96.5854340893673,371.41690017614326,109.76076941978391,0.1425363967482824,7.168408906321526,193.03029496701896,146.00397313872392,0.12906573165756025,5.375464834265592,1.7001782799834457,25.09013783692876,1.6119073913813478,1802.776269914048,0.19895052054027154,3.5553024068143504,1.8488532962018693,24.69020899998629,28.20882694604597,78.91005181519144,12.21450120599455,0.5965021176523843,0.3457470673561824
min,9955600018227.0,1001.0,1.0,1.0,0.99,0.0,0.49,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.05,0.09,0.0,0.0,0.0
25%,9955615601388.0,30342.0,35.0,1.0,136.0,0.0,61.197500000000005,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.46,5.0,287.0,67.0,0.09,3.0,0.0,5.0,1.0,337.0,0.0,1.0,0.0,0.0,18.4675,24.77,5.0,0.0,1.0
50%,9955628303190.0,48362.5,98.0,3.0,264.99,0.0,92.65,11.0,0.16,0.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,108.98,0.0,0.55,12.0,448.0,124.0,0.18,6.0,0.0,9.0,2.0,1667.0,0.0,4.0,0.0,0.0,29.45,52.0,11.0,0.0,1.0
75%,9955639314174.0,66221.0,205.0,6.0,571.8175,1.0,139.9725,16.0,0.31,0.03,0.03,0.14,0.23,0.13,0.09,0.1,0.07,0.0,0.0,0.0,0.03,0.0032259999999999997,0.02,0.0,129.0325,323.0,0.0,110.9825,0.0,289.33250000000004,0.0,0.62,17.0,630.0,230.0,0.28,10.0,1.0,20.0,3.0,4164.0,0.0,8.0,2.0,30.0,50.0,107.33,22.0,0.09,1.0
max,9964401278251.0,99687.0,365.0,81.0,22511.49,1.0,1564.51,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10642.72,11476.8,22511.49,4099.92,5562.46,2189.0,13224.07,2259.5,0.99,38.0,713.0,713.0,0.64,37.0,32.0,743.0,17.0,7504.0,1.0,11.0,11.0,100.0,200.0,364.0,50.0,40.92,1.0
skew,13.15139189652172,0.016615115006749184,0.6612863323618609,3.8394002017725324,7.161483163132217,0.46745696256173314,3.233549331420045,1.0209874542147042,1.4984798726080992,6.106665187916968,4.577491034579642,2.6977923894808096,1.5684127960990881,2.420409500046602,3.1010673074073125,2.9410508629639436,3.4753016206778327,4.965863561018492,7.471723199808887,9.88025262576709,6.075426862284862,10.768356737382971,3.0756895757858236,31.683859332166623,8.402650497883227,10.887955927843665,10.814878840608724,5.676868137142514,5.796440460033094,6.788796332687337,4.53800603838155,-1.3613700073227808,0.15715254514532923,-0.24939766906373534,1.6059129025076702,0.2889740240556855,1.301759911054383,4.367521910086312,6.503903087492149,2.1961948608165227,0.305339845299133,4.61189451990131,0.1435996734283101,1.9710946470110213,1.5308156094932055,1.7283141349608928,1.6628279607959913,1.0355489525611759,37.670662656392125,-2.089632145945599
kurt,184.64926818138917,-0.8081877484605262,-0.7994851174928495,22.729225053499555,128.70397188853656,-1.7816888874052128,21.254274040003526,-0.6652388436715837,2.1865894203957703,59.98763561189839,26.897020113848406,10.689566051084777,2.6109414040866215,7.757830180410034,12.53014493085743,12.59532413472119,13.99741275576087,26.872820895479634,61.60783582645753,169.77321971262558,54.67156670791899,164.6972772690777,9.982987047568757,1692.002410180829,136.40913251527013,369.09605050267373,190.29227572715178,76.39046871128232,59.418259291088404,125.9311722963371,34.03946040784154,2.1985341462988313,-0.9072278640339033,-1.1487196273027955,2.4345981660825675,-0.6092461420754423,1.6540531896254889,31.312939864797876,101.53322203257832,7.822617276220253,-1.4796896637465828,19.271787216363922,-1.4201769668770314,4.0066207786488475,1.7757949134662798,3.9207718421298994,2.3340338238504588,0.2891742487687199,2287.9823353329907,2.366834667243893
