const,515.2650213072694
PJEWELRY,2.1737932883617934
POUTERWEAR,0.8277978422940323
PLEGWEAR,0.7533212153331982
PFASHION,0.5778620812874719
MARKDOWN,0.5242186963822258
PCOLLSPND,0.46846309943913667
PCAS_PNTS,0.4384002331970898
GMP,0.41836121274940025
WEB,0.41129976913815963
PSWEATERS,0.4085535900103451
PDRESSES,0.387180018169095
PKNIT_DRES,0.3789654405564141
PCAR_PNTS,0.3677224875844091
PBLOUSES,0.3609240152660867
PSUITS,0.2763187424894346
PSHIRTS,0.26862837458194466
PKNIT_TOPS,0.13085121372906328
VALPHON,0.11029245028582169
PJACKETS,0.10420081529918666
RESPONDED,0.06651264587253063
FRE,0.05661837493639486
PERCRET,0.05412247763726143
LTFREDAY,0.04251993988151622
CC_CARD,0.030546951418246027
STORES,0.026837872808563215
COUPONS,0.022726128029441923
MAILED,0.015465856925818134
PC_CALC20,0.013474263888146655
CLASSES,0.011867991160435859
STYLES,0.005641187772857779
RESPONSERATE,0.00429736451112187
PSSPEND,0.0036453168276551987
AMSPEND,0.0036410983007242174
AXSPEND,0.003620687609651579
CCSPEND,0.0035404231031842407
MON,0.0034761169837469485
FREDAYS,0.0032793217408004023
CLUSTYPE,0.001393918363171906
AVRG,0.0012444041278623097
DAYS,0.0012262563694687802
PROMOS,0.00030054852205189437
OMONSPEND,0.000298412291261494
TMONSPEND,0.00028307176544504364
HI,0.00022840743764572345
SMONSPEND,0.0001463603301736986
PREVPD,7.621596301186173e-05
REC,5.546600836733507e-05
STORELOY,1.26439072441719e-05
ZIP_CODE,7.055007028095913e-07
HHKEY,5.1623194965041293e-11
